hospital_name,address,contact,latitude,longitude
Border Medicare Centre,"Old Namanga Road, Dalalekutuk ward, Kajiado Central, Kajiado, Kenya",7829609861,-1.8420515,36.7899351
Mobile Clinic,"Eremit, Ewuaso Oonkidong'i ward, Kajiado West, Kajiado, Kenya",5763 00200,-1.3933105,36.434513
Kitengela Medical Services,"Kitengela, Kitengela ward, Kajiado East, Kajiado, Kenya",+254 727 151821,-1.4708426000000001,36.9634826
Oloirien dispensary,"Ol Girra, Rombo ward, Loitokitok, Kajiado, Kenya",521837733,-3.1130061,37.7741839
Oloibor Soit dispensary,"Ol Oibor Soit, Rombo ward, Loitokitok, Kajiado, Kenya",741255697,-3.1707961,37.7753649
Nolasiti Dispensary,"Rombo ward, Loitokitok, Kajiado, Kenya",7829609861,-3.0114094,37.852524100000004
Kajiado County Referal Hospital,"Ildamat ward, Kajiado Central, Kajiado, Kenya",8791931620,-1.857327,36.771763299999996
Ngong Sub-District Hospital,"Ngong, Ngong ward, Kajiado North, Kajiado, Kenya",204338461,-1.3652248062011842,36.65383826360215
Njjile Dispensary,"Ewuaso Oonkidong'i ward, Kajiado West, Kajiado, Kenya",08637882333,-1.214706079016442,36.46374288971128
Kitengela Sub County Hospital,"Saitoti Road, Noonkopir, Oloosirkon/Sholinke ward, Kajiado East, Kajiado, Kenya",319750903785,-1.4702921697216618,36.95414268656956
Loitokitok Hospital,"Loitoktok, Kuku ward, Loitokitok, Kajiado, 00209, Kenya",+254 713 358169,-2.924775029419448,37.50457759263227
Entasopia Health Centre,"Kalema, Magadi ward, Kajiado West, Kajiado, Kenya",69390625836707,-1.7838685739852709,36.053383861157215
Rombo Health Centre,"Rombo, Rombo ward, Loitokitok, Kajiado, Kenya",11479823833992,-3.059893867992189,37.7003147859576
Emumwenyi dispensary,"Taveta-Illasit, Rombo, Kajiado, Kenya, Maili Tatu, Rombo ward, Loitokitok, Kajiado, Kenya",7829609861,-3.0881052141550778,37.75087945729892
Namanga hospital,"Namanga, Kajiado Central, Kajiado, Kenya",99501916236869958,-2.5429743404260976,36.78733795598957
Magadi Hospital,"Magadi, Magadi ward, Kajiado West, Kajiado, Kenya",376283963,-1.9027841653767341,36.285968622646095
Matasia Nursing Home,"Forest Line Road, Upper Matasia sublocation, Olkeri ward, Kajiado North, Kajiado, Kenya",1219780926380,-1.3920742248192526,36.68330952924124
Getrude Childrens Hospital,"New Valley Road, Kitengela, Kitengela ward, Kajiado East, Kajiado, Kenya",0207206000,-1.4883322341240206,36.95552334717944
Emotoroki Dispensary,"Matapato North ward, Kajiado Central, Kajiado, Kenya",521837733,-2.2938634,37.03044725
MRS,"Ewuaso Oonkidong'i ward, Kajiado West, Kajiado, Kenya",9796193147,-1.3893104112484995,36.57088787895242
Kajiado District Hospital,"Ildamat ward, Kajiado Central, Kajiado, Kenya",8791931620,-1.8574184744552968,36.77198065236591
Olooltepes Dispensary,"Keekonyokie ward, Kajiado West, Kajiado, Kenya",906218878,-1.467823893584162,36.73800183723508
sajiloni,"Dalalekutuk ward, Kajiado Central, Kajiado, 01100, Kenya",1274600192,-1.8767122198740724,36.862746938926136
