hospital_name,address,contact,latitude,longitude
Oloibor Soit dispensary,"Ol Oibor Soit, Rombo ward, Loitokitok, Kajiado, Kenya",+254 741255697,-3.1707961,37.7753649
Nolasiti Dispensary,"Rombo ward, Loitokitok, Kajiado, Kenya",+254 782960986,-3.0114094,37.8525241
Kajiado County Referal Hospital,"Ildamat ward, Kajiado Central, Kajiado, Kenya",+254 791931620,-1.857327,36.7717633
Ngong Sub-District Hospital,"Ngong, Ngong ward, Kajiado North, Kajiado, Kenya",+254 204338461,-1.365224806,36.65383826
Njjile Dispensary,"Ewuaso Oonkidong'i ward, Kajiado West, Kajiado, Kenya",+254 721311659,-1.214706079,36.46374289
Kitengela Sub County Hospital,"Saitoti Road, Noonkopir, Oloosirkon/Sholinke ward, Kajiado East, Kajiado, Kenya",+254 750903785,-1.47029217,36.95414269
Loitokitok Hospital,"Loitoktok, Kuku ward, Loitokitok, Kajiado, 00209, Kenya",+254 713358169,-2.924775029,37.50457759
Entasopia Health Centre,"Kalema, Magadi ward, Kajiado West, Kajiado, Kenya",+254 764900042,-1.783868574,36.05338386
Rombo Health Centre,"Rombo, Rombo ward, Loitokitok, Kajiado, Kenya",+254 202717077,-3.059893868,37.70031479
Emumwenyi dispensary,"Taveta-Illasit, Rombo, Kajiado, Kenya, Maili Tatu, Rombo ward, Loitokitok, Kajiado, Kenya",+254 782960986,-3.088105214,37.75087946
Namanga hospital,"Namanga, Kajiado Central, Kajiado, Kenya",+254 720288107,-2.54297434,36.78733796
Magadi Hospital,"Magadi, Magadi ward, Kajiado West, Kajiado, Kenya",+254 762839631,-1.902784165,36.28596862
Matasia Nursing Home,"Forest Line Road, Upper Matasia sublocation, Olkeri ward, Kajiado North, Kajiado, Kenya",+254 723385515,-1.392074225,36.68330953
Getrude Childrens Hospital,"New Valley Road, Kitengela, Kitengela ward, Kajiado East, Kajiado, Kenya",+254 207206000,-1.488332234,36.95552335
Emotoroki Dispensary,"Matapato North ward, Kajiado Central, Kajiado, Kenya",+254 752183773,-2.2938634,37.03044725
MRS,"Ewuaso Oonkidong'i ward, Kajiado West, Kajiado, Kenya",+254 796560759,-1.389310411,36.57088788
Kajiado District Hospital,"Ildamat ward, Kajiado Central, Kajiado, Kenya",+254 791931620,-1.857418474,36.77198065
Olooltepes Dispensary,"Keekonyokie ward, Kajiado West, Kajiado, Kenya",+254 202684029,-1.467823894,36.73800184
sajiloni,"Dalalekutuk ward, Kajiado Central, Kajiado, 01100, Kenya",+254 202717077,-1.87671222,36.86274694
